utc_time;ESP
2011-01-01T00:00:00Z;7.953
2011-01-01T01:00:00Z;7.801
2011-01-01T02:00:00Z;7.654
2011-01-01T03:00:00Z;7.514
2011-01-01T04:00:00Z;7.402
2011-01-01T05:00:00Z;7.305
2011-01-01T06:00:00Z;7.2
2011-01-01T07:00:00Z;7.135
2011-01-01T08:00:00Z;7.924
2011-01-01T09:00:00Z;9.056
2011-01-01T10:00:00Z;10.363
2011-01-01T11:00:00Z;11.629
2011-01-01T12:00:00Z;12.456
2011-01-01T13:00:00Z;12.854
2011-01-01T14:00:00Z;12.845
2011-01-01T15:00:00Z;12.229
2011-01-01T16:00:00Z;10.6
2011-01-01T17:00:00Z;9.485
2011-01-01T18:00:00Z;8.964
2011-01-01T19:00:00Z;8.495
2011-01-01T20:00:00Z;8.073
2011-01-01T21:00:00Z;7.761
2011-01-01T22:00:00Z;7.514
2011-01-01T23:00:00Z;7.259
2011-01-02T00:00:00Z;7.004
2011-01-02T01:00:00Z;6.839
2011-01-02T02:00:00Z;6.679
2011-01-02T03:00:00Z;6.533
2011-01-02T04:00:00Z;6.395
2011-01-02T05:00:00Z;6.312
2011-01-02T06:00:00Z;6.287
2011-01-02T07:00:00Z;6.264
2011-01-02T08:00:00Z;7.246
2011-01-02T09:00:00Z;8.435
2011-01-02T10:00:00Z;9.859
2011-01-02T11:00:00Z;11.2
2011-01-02T12:00:00Z;12.045
2011-01-02T13:00:00Z;12.422
2011-01-02T14:00:00Z;12.388
2011-01-02T15:00:00Z;11.639
2011-01-02T16:00:00Z;9.625
2011-01-02T17:00:00Z;8.272
2011-01-02T18:00:00Z;7.656
2011-01-02T19:00:00Z;7.061
2011-01-02T20:00:00Z;6.473
2011-01-02T21:00:00Z;5.969
2011-01-02T22:00:00Z;5.539
2011-01-02T23:00:00Z;5.267
2011-01-03T00:00:00Z;4.951
2011-01-03T01:00:00Z;4.636
2011-01-03T02:00:00Z;4.379
2011-01-03T03:00:00Z;4.151
2011-01-03T04:00:00Z;3.891
2011-01-03T05:00:00Z;3.656
2011-01-03T06:00:00Z;3.426
2011-01-03T07:00:00Z;3.367
2011-01-03T08:00:00Z;4.598
2011-01-03T09:00:00Z;6.132
2011-01-03T10:00:00Z;7.706
2011-01-03T11:00:00Z;9.065
2011-01-03T12:00:00Z;10.066
2011-01-03T13:00:00Z;10.606
2011-01-03T14:00:00Z;10.636
2011-01-03T15:00:00Z;9.927
2011-01-03T16:00:00Z;7.988
2011-01-03T17:00:00Z;6.93
2011-01-03T18:00:00Z;6.58
2011-01-03T19:00:00Z;6.341
2011-01-03T20:00:00Z;6.133
2011-01-03T21:00:00Z;5.932
2011-01-03T22:00:00Z;5.761
2011-01-03T23:00:00Z;5.589
2011-01-04T00:00:00Z;5.335
2011-01-04T01:00:00Z;5.127
2011-01-04T02:00:00Z;5.054
2011-01-04T03:00:00Z;5.026
2011-01-04T04:00:00Z;4.953
2011-01-04T05:00:00Z;4.855
2011-01-04T06:00:00Z;4.794
2011-01-04T07:00:00Z;4.809
2011-01-04T08:00:00Z;5.824
2011-01-04T09:00:00Z;7.165
2011-01-04T10:00:00Z;8.619
2011-01-04T11:00:00Z;9.895
2011-01-04T12:00:00Z;10.764
2011-01-04T13:00:00Z;11.273
2011-01-04T14:00:00Z;11.333
2011-01-04T15:00:00Z;10.806
